ind,STATE_POST,COUNTY_NAME,FIPS,OBAMA_NUM,ROMNEY_NUM
0,AL,Alabama,0,"793,620","1,252,453"
1,AL,Autauga,1001,"6,354","17,366"
2,AL,Baldwin,1003,"18,329","65,772"
3,AL,Barbour,1005,"5,873","5,539"
4,AL,Bibb,1007,"2,200","6,131"
5,AL,Blount,1009,"2,961","20,741"
6,AL,Bullock,1011,"4,058","1,250"
7,AL,Butler,1013,"4,367","5,081"
8,AL,Calhoun,1015,"15,500","30,272"
9,AL,Chambers,1017,"6,853","7,596"
10,AL,Cherokee,1019,"2,126","7,494"
11,AL,Chilton,1021,"3,391","13,910"
12,AL,Choctaw,1023,"3,785","4,150"
13,AL,Clarke,1025,"6,317","7,463"
14,AL,Clay,1027,"1,770","4,802"
15,AL,Cleburne,1029,971,"5,269"
16,AL,Coffee,1031,"4,899","14,638"
17,AL,Colbert,1033,"9,160","13,931"
18,AL,Conecuh,1035,"3,551","3,434"
19,AL,Coosa,1037,"2,188","3,028"
20,AL,Covington,1039,"3,155","12,148"
21,AL,Crenshaw,1041,"2,048","4,326"
22,AL,Cullman,1043,"4,855","27,930"
23,AL,Dale,1045,"5,283","13,105"
24,AL,Dallas,1047,"14,599","6,284"
25,AL,DeKalb,1049,"5,235","18,316"
26,AL,Elmore,1051,"8,940","26,223"
27,AL,Escambia,1053,"5,476","9,263"
28,AL,Etowah,1055,"12,792","29,102"
29,AL,Fayette,1057,"1,803","6,034"
30,AL,Franklin,1059,"3,171","7,567"
31,AL,Geneva,1061,"2,039","9,173"
32,AL,Greene,1063,"4,514",799
33,AL,Hale,1065,"5,401","3,205"
34,AL,Henry,1067,"3,046","5,605"
35,AL,Houston,1069,"12,348","29,214"
36,AL,Jackson,1071,"5,817","14,422"
37,AL,Jefferson,1073,"159,658","141,413"
38,AL,Lamar,1075,"1,643","5,453"
39,AL,Lauderdale,1077,"12,504","23,902"
40,AL,Lawrence,1079,"5,055","8,855"
41,AL,Lee,1081,"21,274","32,062"
42,AL,Limestone,1083,"9,809","25,263"
43,AL,Lowndes,1085,"5,747","1,754"
44,AL,Macon,1087,"9,045","1,322"
45,AL,Madison,1089,"61,802","90,679"
46,AL,Marengo,1091,"6,154","5,321"
47,AL,Marion,1093,"2,249","9,696"
48,AL,Marshall,1095,"6,271","25,785"
49,AL,Mobile,1097,"78,417","94,566"
50,AL,Monroe,1099,"4,897","5,730"
51,AL,Montgomery,1101,"62,993","38,283"
52,AL,Morgan,1103,"13,401","35,309"
53,AL,Perry,1105,"4,536","1,504"
54,AL,Pickens,1107,"4,448","5,119"
55,AL,Pike,1109,"6,009","7,939"
56,AL,Randolph,1111,"3,076","7,219"
57,AL,Russell,1113,"10,495","8,276"
58,AL,St. Clair,1115,"5,790","29,001"
59,AL,Shelby,1117,"19,944","71,243"
60,AL,Sumter,1119,"5,420","1,585"
61,AL,Talladega,1121,"13,878","19,217"
62,AL,Tallapoosa,1123,"6,252","12,303"
63,AL,Tuscaloosa,1125,"32,003","45,703"
64,AL,Walker,1127,"6,551","21,633"
65,AL,Washington,1129,"2,971","5,749"
66,AL,Wilcox,1131,"4,867","1,676"
67,AL,Winston,1133,"1,286","8,310"
68,AR,Arkansas,0,"391,953","643,717"
69,AR,Ashley,5003,"2,855","4,866"
70,AR,Baxter,5005,"5,172","13,688"
71,AR,Benton,5007,"22,144","53,477"
72,AR,Boone,5009,"3,762","11,143"
73,AR,Bradley,5011,"1,447","2,118"
74,AR,Calhoun,5013,660,"1,458"
75,AR,Carroll,5015,"3,691","6,121"
76,AR,Chicot,5017,"2,649","1,670"
77,AR,Clark,5019,"3,808","4,343"
78,AR,Clay,5021,"1,738","3,225"
79,AR,Cleburne,5023,"2,618","8,691"
80,AR,Cleveland,5025,845,"2,313"
81,AR,Columbia,5027,"3,557","5,790"
82,AR,Conway,5029,"3,003","4,511"
83,AR,Craighead,5031,"10,351","20,044"
84,AR,Crawford,5033,"4,872","15,125"
85,AR,Crittenden,5035,"9,092","6,192"
86,AR,Cross,5037,"2,279","4,268"
87,AR,Dallas,5039,"1,337","1,664"
88,AR,Desha,5041,"2,353","1,807"
89,AR,Drew,5043,"2,627","3,883"
90,AR,Faulkner,5045,"13,559","26,653"
91,AR,Franklin,5047,"1,725","4,631"
92,AR,Fulton,5049,"1,452","2,949"
93,AR,Garland,5051,"13,317","25,031"
94,AR,Grant,5053,"1,467","4,829"
95,AR,Greene,5055,"3,998","9,066"
96,AR,Hempstead,5057,"2,466","4,284"
97,AR,Hot Spring,5059,"3,824","7,087"
98,AR,Howard,5061,"1,460","2,862"
99,AR,Independence,5063,"3,279","8,724"
100,AR,Izard,5065,"1,563","3,571"
101,AR,Jackson,5067,"2,093","3,065"
102,AR,Jefferson,5069,"17,456","9,515"
103,AR,Johnson,5071,"2,785","5,045"
104,AR,Lafayette,5073,"1,173","1,712"
105,AR,Lawrence,5075,"1,786","3,535"
106,AR,Lee,5077,"2,107","1,280"
107,AR,Lincoln,5079,"1,424","2,199"
108,AR,Little River,5081,"1,552","3,385"
109,AR,Logan,5083,"2,009","5,078"
110,AR,Lonoke,5085,"5,612","17,863"
111,AR,Madison,5087,"2,099","4,262"
112,AR,Marion,5089,"2,024","4,771"
113,AR,Miller,5091,"4,518","10,622"
114,AR,Mississippi,5093,"6,445","6,599"
115,AR,Monroe,5095,"1,583","1,585"
116,AR,Montgomery,5097,920,"2,368"
117,AR,Nevada,5099,"1,314","1,996"
118,AR,Newton,5101,993,"2,508"
119,AR,Ouachita,5103,"4,626","5,516"
120,AR,Perry,5105,"1,187","2,580"
121,AR,Phillips,5107,"5,179","2,591"
122,AR,Pike,5109,850,"2,847"
123,AR,Poinsett,5111,"2,387","4,967"
124,AR,Polk,5113,"1,556","5,950"
125,AR,Pope,5115,"5,108","14,733"
126,AR,Prairie,5117,877,"2,149"
127,AR,Pulaski,5119,"87,055","68,856"
128,AR,Randolph,5121,"2,040","3,699"
129,AR,Saint Francis,5123,"4,652","3,287"
130,AR,Saline,5125,"12,868","32,962"
131,AR,Scott,5127,895,"2,630"
132,AR,Searcy,5129,814,"2,699"
133,AR,Sebastian,5131,"13,083","29,158"
134,AR,Sevier,5133,"1,042","3,135"
135,AR,Sharp,5135,"2,092","4,920"
136,AR,Stone,5137,"1,356","3,773"
137,AR,Union,5139,"6,182","10,696"
138,AR,Van Buren,5141,"1,826","4,362"
139,AR,Washington,5143,"28,136","39,570"
140,AR,White,5145,"5,765","20,005"
141,AR,Woodruff,5147,"1,340","1,227"
142,AR,Yell,5149,"1,720","4,041"
143,AZ,Arizona,0,"900,081","1,107,130"
144,AZ,Apache,4001,"16,833","8,198"
145,AZ,Cochise,4003,"16,223","26,742"
146,AZ,Coconino,4005,"26,316","19,368"
147,AZ,Gila,4007,"6,650","11,525"
148,AZ,Graham,4009,"3,608","8,076"
149,AZ,Greenlee,4011,"1,310","1,590"
150,AZ,La Paz,4012,"1,619","3,205"
