MSA_NUM,MSA_NAME,EDU_TOTAL,EDU_10,EDU_12,EDU_14,EDU_16
10020,"Abbeville, LA Micro Area",30138,5677,13374,6741,4346
10100,"Aberdeen, SD Micro Area",20712,986,6420,7272,6034
10140,"Aberdeen, WA Micro Area",38464,5488,11284,15756,5936
10180,"Abilene, TX Metro Area",82667,13358,24803,27412,17094
10220,"Ada, OK Micro Area",18407,2240,5698,5248,5221
10300,"Adrian, MI Micro Area",51987,4137,18126,19513,10211
10420,"Akron, OH Metro Area",370731,26988,119005,111612,113126
10460,"Alamogordo, NM Micro Area",32408,5523,9064,12337,5484
10500,"Albany, GA Metro Area",79525,14684,24574,27388,12879
10540,"Albany-Lebanon, OR Micro Area",60955,5163,18100,27451,10241
10580,"Albany-Schenectady-Troy, NY Metro Area",467826,29783,118829,149223,169991
10620,"Albemarle, NC Micro Area",31636,4995,10323,10865,5453
10660,"Albert Lea, MN Micro Area",15684,1350,5290,6497,2547
10700,"Albertville, AL Micro Area",47871,10254,15069,14763,7785
10740,"Albuquerque, NM Metro Area",476753,55468,115988,162947,142350
10760,"Alexander City, AL Micro Area",27823,5333,10068,8222,4200
10780,"Alexandria, LA Metro Area",80541,13750,29274,24773,12744
10820,"Alexandria, MN Micro Area",18349,717,4724,8067,4841
10860,"Alice, TX Micro Area",20080,4977,7027,5538,2538
10880,"Allegan, MI Micro Area",59048,4239,23489,19549,11771
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",437721,39733,145130,123522,129336
10940,"Alma, MI Micro Area",22146,2175,8667,8182,3122
10980,"Alpena, MI Micro Area",15319,1253,4812,6399,2855
11020,"Altoona, PA Metro Area",65870,3907,31897,16865,13201
11060,"Altus, OK Micro Area",13237,2089,3861,4576,2711
11100,"Amarillo, TX Metro Area",130014,19817,31701,48239,30257
11140,"Americus, GA Micro Area",18034,3311,5933,5033,3757
11180,"Ames, IA Metro Area",38589,1200,5843,11867,19679
11220,"Amsterdam, NY Micro Area",26131,4112,8734,8592,4693
11260,"Anchorage, AK Metro Area",214309,14338,53279,81229,65463
11300,"Anderson, IN Metro Area",68155,6720,25876,22602,12957
11340,"Anderson, SC Metro Area",98176,15987,31603,31475,19111
11420,"Angola, IN Micro Area",17548,1632,6673,5466,3777
11460,"Ann Arbor, MI Metro Area",179603,8267,27255,49780,94301
11500,"Anniston-Oxford, AL Metro Area",60896,11418,20009,19672,9797
11540,"Appleton, WI Metro Area",124057,6407,38161,43238,36251
11580,"Arcadia, FL Micro Area",16607,5228,6239,3746,1394
11620,"Ardmore, OK Micro Area",29351,3613,12661,8123,4954
11660,"Arkadelphia, AR Micro Area",9881,1207,3267,2999,2408
11700,"Asheville, NC Metro Area",227716,23907,57587,77488,68734
